Period,Category,Inflation Rate
2024-05-01,Food and Beverage,0.4787891465677596
2024-06-01,Food and Beverage,0.4825727594611666
2024-07-01,Food and Beverage,0.4863563723545735
2024-08-01,Food and Beverage,0.4901399852479804
2024-09-01,Food and Beverage,0.4939235981413874
2024-10-01,Food and Beverage,0.4977072110347943
2024-11-01,Food and Beverage,0.5014908239282012
2024-12-01,Food and Beverage,0.5052744368216081
2025-01-01,Food and Beverage,0.5090580497150151
2025-02-01,Food and Beverage,0.512841662608422
2025-03-01,Food and Beverage,0.5166252755018289
2025-04-01,Food and Beverage,0.5204088883952358
2025-05-01,Food and Beverage,0.5241925012886428
2025-06-01,Food and Beverage,0.5279761141820497
2025-07-01,Food and Beverage,0.5317597270754566
2025-08-01,Food and Beverage,0.5355433399688636
2025-09-01,Food and Beverage,0.5393269528622705
2025-10-01,Food and Beverage,0.5431105657556774
2025-11-01,Food and Beverage,0.5468941786490844
2025-12-01,Food and Beverage,0.5506777915424913
2026-01-01,Food and Beverage,0.5544614044358982
2026-02-01,Food and Beverage,0.5582450173293051
2026-03-01,Food and Beverage,0.5620286302227121
2026-04-01,Food and Beverage,0.565812243116119
2026-05-01,Food and Beverage,0.5695958560095259
2026-06-01,Food and Beverage,0.5733794689029329
2026-07-01,Food and Beverage,0.5771630817963398
2026-08-01,Food and Beverage,0.5809466946897467
2026-09-01,Food and Beverage,0.5847303075831537
2026-10-01,Food and Beverage,0.5885139204765606
2026-11-01,Food and Beverage,0.5922975333699675
2026-12-01,Food and Beverage,0.5960811462633745
2027-01-01,Food and Beverage,0.5998647591567814
2027-02-01,Food and Beverage,0.6036483720501883
2027-03-01,Food and Beverage,0.6074319849435952
2027-04-01,Food and Beverage,0.6112155978370022
2027-05-01,Food and Beverage,0.6149992107304091
2027-06-01,Food and Beverage,0.618782823623816
2027-07-01,Food and Beverage,0.622566436517223
2027-08-01,Food and Beverage,0.6263500494106299
2027-09-01,Food and Beverage,0.6301336623040368
2027-10-01,Food and Beverage,0.6339172751974438
2027-11-01,Food and Beverage,0.6377008880908507
2027-12-01,Food and Beverage,0.6414845009842576
2028-01-01,Food and Beverage,0.6452681138776645
2028-02-01,Food and Beverage,0.6490517267710715
2028-03-01,Food and Beverage,0.6528353396644784
2028-04-01,Food and Beverage,0.6566189525578853
2028-05-01,Food and Beverage,0.6604025654512923
2028-06-01,Food and Beverage,0.6641861783446992
2028-07-01,Food and Beverage,0.6679697912381061
2028-08-01,Food and Beverage,0.6717534041315131
2028-09-01,Food and Beverage,0.67553701702492
2028-10-01,Food and Beverage,0.6793206299183269
2028-11-01,Food and Beverage,0.6831042428117339
2028-12-01,Food and Beverage,0.6868878557051408
2029-01-01,Food and Beverage,0.6906714685985477
2029-02-01,Food and Beverage,0.6944550814919546
2029-03-01,Food and Beverage,0.6982386943853616
2029-04-01,Food and Beverage,0.7020223072787685
2029-05-01,Food and Beverage,0.7058059201721754
2029-06-01,Food and Beverage,0.7095895330655824
2029-07-01,Food and Beverage,0.7133731459589893
2029-08-01,Food and Beverage,0.7171567588523962
2029-09-01,Food and Beverage,0.7209403717458032
2029-10-01,Food and Beverage,0.7247239846392101
2029-11-01,Food and Beverage,0.728507597532617
2029-12-01,Food and Beverage,0.7322912104260239
2030-01-01,Food and Beverage,0.7360748233194309
2030-02-01,Food and Beverage,0.7398584362128378
2030-03-01,Food and Beverage,0.7436420491062447
2030-04-01,Food and Beverage,0.7474256619996517
2030-05-01,Food and Beverage,0.7512092748930586
2030-06-01,Food and Beverage,0.7549928877864654
2030-07-01,Food and Beverage,0.7587765006798725
2030-08-01,Food and Beverage,0.7625601135732794
2030-09-01,Food and Beverage,0.7663437264666862
2030-10-01,Food and Beverage,0.7701273393600933
2030-11-01,Food and Beverage,0.7739109522535002
2030-12-01,Food and Beverage,0.777694565146907
