Period,Category,Inflation Rate
2027-12-01,Food at home,-0.27251135670133403
2028-01-01,Food at home,-0.15871409741628975
2028-02-01,Food at home,-0.1734767456645278
2028-03-01,Food at home,-0.15722638259709162
2028-04-01,Food at home,-0.038341631079809084
2028-05-01,Food at home,-0.04107935209716583
2028-06-01,Food at home,-0.009590717656642711
2028-07-01,Food at home,0.1042755576505552
2028-08-01,Food at home,-0.035930854061806385
2028-09-01,Food at home,0.016284041975377916
2028-10-01,Food at home,-0.4180451487791598
2028-11-01,Food at home,-0.23275198747755327
2028-12-01,Food at home,-0.309327991691007
2029-01-01,Food at home,-0.1955307324059529
2029-02-01,Food at home,-0.21029338065418923
2029-03-01,Food at home,-0.19404301758675283
2029-04-01,Food at home,-0.0751582660694702
2029-05-01,Food at home,-0.07789598708682695
2029-06-01,Food at home,-0.04640735264630385
2029-07-01,Food at home,0.06745892266089412
2029-08-01,Food at home,-0.0727474890514675
2029-09-01,Food at home,-0.020532593014283198
2029-10-01,Food at home,-0.4548617837688208
2029-11-01,Food at home,-0.2695686224672144
2029-12-01,Food at home,-0.3461446266806681
2030-01-01,Food at home,-0.23234736739561393
2030-02-01,Food at home,-0.24711001564385027
2030-03-01,Food at home,-0.23085965257641386
2030-04-01,Food at home,-0.11197490105913123
2030-05-01,Food at home,-0.11471262207648798
2030-06-01,Food at home,-0.08322398763596489
2030-07-01,Food at home,0.030642287671233073
2030-08-01,Food at home,-0.10956412404112854
2030-09-01,Food at home,-0.05734922800394425
2030-10-01,Food at home,-0.4916784187584819
2030-11-01,Food at home,-0.3063852574568755
2030-12-01,Food at home,-0.3829612616703292
2024-01-01,Food Away from home,0.28917237761555115
2024-02-01,Food Away from home,0.34598006775086343
2024-03-01,Food Away from home,0.3218992008601733
2024-04-01,Food Away from home,0.25728789312779843
2024-05-01,Food Away from home,0.3495962928622699
2024-06-01,Food Away from home,0.3282920395434694
2024-07-01,Food Away from home,0.29649577482842016
2024-08-01,Food Away from home,0.3650721748887559
2024-09-01,Food Away from home,0.40275727426912333
2024-10-01,Food Away from home,0.4018406527632638
2024-11-01,Food Away from home,0.36918074908412624
2024-12-01,Food Away from home,0.344874504463192
2025-01-01,Food Away from home,0.29609082468428216
2025-02-01,Food Away from home,0.31875225351175773
2025-03-01,Food Away from home,0.29337458018495244
2025-04-01,Food Away from home,0.24870479765287604
2025-05-01,Food Away from home,0.33937556149856146
2025-06-01,Food Away from home,0.32654359608940675
2025-07-01,Food Away from home,0.31771427670562113
2025-08-01,Food Away from home,0.37312092737169883
2025-09-01,Food Away from home,0.4091361258995479
2025-10-01,Food Away from home,0.410803474178025
2025-11-01,Food Away from home,0.3660206199078518
2025-12-01,Food Away from home,0.35241440622012377
2026-01-01,Food Away from home,0.3023006250821013
2026-02-01,Food Away from home,0.32053109739011637
2026-03-01,Food Away from home,0.294985127130616
2026-04-01,Food Away from home,0.25290299800166954
2026-05-01,Food Away from home,0.34336125546377577
2026-06-01,Food Away from home,0.3316286737416718
2026-07-01,Food Away from home,0.3257796007312783
2026-08-01,Food Away from home,0.3794773125069094
2026-09-01,Food Away from home,0.41527582058200996
2026-10-01,Food Away from home,0.41727847105261284
2026-11-01,Food Away from home,0.370922513186664
2026-12-01,Food Away from home,0.3587047615653047
2027-01-01,Food Away from home,0.30841838323508886
2027-02-01,Food Away from home,0.326073883835181
2027-03-01,Food Away from home,0.3005060749557495
2027-04-01,Food Away from home,0.25875972603340774
2027-05-01,Food Away from home,0.349190408149699
2027-06-01,Food Away from home,0.33760048513187346
2027-07-01,Food Away from home,0.33213813614793586
2027-08-01,Food Away from home,0.38561409185179113
2027-09-01,Food Away from home,0.42138448164609077
2027-10-01,Food Away from home,0.4234306417456212
2027-11-01,Food Away from home,0.37687055412649956
2027-12-01,Food Away from home,0.3648329727238459
2028-01-01,Food Away from home,0.3145241977616884
2028-02-01,Food Away from home,0.33210508863287597
2028-03-01,Food Away from home,0.30653444592094403
2028-04-01,Food Away from home,0.2648316686558527
2028-05-01,Food Away from home,0.35525877252812366
2028-06-01,Food Away from home,0.34368736125114635
2028-07-01,Food Away from home,0.33827519451857374
2028-08-01,Food Away from home,0.3917223746145684
2028-09-01,Food Away from home,0.4274891157122819
2028-10-01,Food Away from home,0.42954092172721
2028-11-01,Food Away from home,0.3829543457342507
2028-12-01,Food Away from home,0.3709401436578996
2029-01-01,Food Away from home,0.3206284624542444
2029-02-01,Food Away from home,0.33819967178533095
2029-03-01,Food Away from home,0.31262866134839334
2029-04-01,Food Away from home,0.2709315380476459
2029-05-01,Food Away from home,0.36135817759825956
2029-06-01,Food Away from home,0.3497891684498517
2029-07-01,Food Away from home,0.34438351348841245
2029-08-01,Food Away from home,0.39782695959146114
2029-09-01,Food Away from home,0.4335932272254208
2029-10-01,Food Away from home,0.435645765868079
2029-11-01,Food Away from home,0.38905575267923004
2029-12-01,Food Away from home,0.3770445843611898
2030-01-01,Food Away from home,0.32673252603656106
2030-02-01,Food Away from home,0.34430247906742906
2030-03-01,Food Away from home,0.3187314209135993
2030-04-01,Food Away from home,0.27703503128503276
2030-05-01,Food Away from home,0.3674616105841375
2030-06-01,Food Away from home,0.3558929131417821
2030-07-01,Food Away from home,0.3504881031636216
2030-08-01,Food Away from home,0.4039310647346531
2030-09-01,Food Away from home,0.43969727093080324
2030-10-01,Food Away from home,0.44174990464101965
2030-11-01,Food Away from home,0.39515944543326237
2030-12-01,Food Away from home,0.38314867078308784
2024-01-01,Food and Beverage,0.08370926387076298
2024-02-01,Food and Beverage,0.07968458816623739
2024-03-01,Food and Beverage,0.07145689754370915
2024-04-01,Food and Beverage,0.13111389084215236
2024-05-01,Food and Beverage,0.16725671244879697
2024-06-01,Food and Beverage,0.16977733397975364
2024-07-01,Food and Beverage,0.22501529285924793
2024-08-01,Food and Beverage,0.17916811610797792
2024-09-01,Food and Beverage,0.21783878416766414
2024-10-01,Food and Beverage,-0.014160813214357582
2024-11-01,Food and Beverage,0.05166169093705153
2024-12-01,Food and Beverage,0.0061014611307071975
2025-01-01,Food and Beverage,0.05251144343048702
2025-02-01,Food and Beverage,0.051226482607902385
2025-03-01,Food and Beverage,0.04699168538976994
2025-04-01,Food and Beverage,0.10577991400700928
2025-05-01,Food and Beverage,0.14239932736944208
2025-06-01,Food and Beverage,0.14637262728209066
2025-07-01,Food and Beverage,0.2002036669209275
2025-08-01,Food and Beverage,0.1550255274779728
2025-09-01,Food and Beverage,0.19373791047190164
2025-10-01,Food and Beverage,-0.04193670895175959
2025-11-01,Food and Beverage,0.029905016662006845
2025-12-01,Food and Beverage,-0.018808559463096283
2026-01-01,Food and Beverage,0.027971147965653285
2026-02-01,Food and Beverage,0.026716002614965834
2026-03-01,Food and Beverage,0.022524658823980543
2026-04-01,Food and Beverage,0.08130343294320132
2026-05-01,Food and Beverage,0.11792803290668774
2026-06-01,Food and Beverage,0.12191714187002495
2026-07-01,Food and Beverage,0.17573287044078872
2026-08-01,Food and Beverage,0.1305620119244679
2026-09-01,Food and Beverage,0.16927484888915736
2026-10-01,Food and Beverage,-0.066439764665669
2026-11-01,Food and Beverage,0.005467466278392021
2026-12-01,Food and Beverage,-0.04328042674191679
2027-01-01,Food and Beverage,0.003503304291354198
2027-02-01,Food and Beverage,0.0022484834132495794
2027-03-01,Food and Beverage,-0.001942387487493093
2027-04-01,Food and Beverage,0.05683628374134238
2027-05-01,Food and Beverage,0.09346094014900805
2027-06-01,Food and Beverage,0.09745022115736694
2027-07-01,Food and Beverage,0.1512657831025002
2027-08-01,Food and Beverage,0.10609500382225781
2027-09-01,Food and Beverage,0.14480784572737104
2027-10-01,Food and Beverage,-0.09090720307124693
2027-11-01,Food and Beverage,-0.018999259252884176
2027-12-01,Food and Beverage,-0.06774752573337703
2028-01-01,Food and Beverage,-0.020963750912459285
2028-02-01,Food and Beverage,-0.02221856825942888
2028-03-01,Food and Beverage,-0.02640943401385292
2028-04-01,Food and Beverage,0.03236923609525822
2028-05-01,Food and Beverage,0.06899389311718848
2028-06-01,Food and Beverage,0.07298317599786026
2028-07-01,Food and Beverage,0.12679873612965817
2028-08-01,Food and Beverage,0.08162795771171762
2028-09-01,Food and Beverage,0.12034079967059597
2028-10-01,Food and Beverage,-0.11537425386464592
2028-11-01,Food and Beverage,-0.043466302288292055
2028-12-01,Food and Beverage,-0.09221457283303688
2029-01-01,Food and Beverage,-0.04543079753559169
2029-02-01,Food and Beverage,-0.046685614844133035
2029-03-01,Food and Beverage,-0.05087648054255128
2029-04-01,Food and Beverage,0.007902189554374252
2029-05-01,Food and Beverage,0.04452684658298937
2029-06-01,Food and Beverage,0.048516129484036954
2029-07-01,Food and Beverage,0.10233168959610091
2029-08-01,Food and Beverage,0.05716091118754449
2029-09-01,Food and Beverage,0.09587375314700795
2029-10-01,Food and Beverage,-0.13984130043978119
2029-11-01,Food and Beverage,-0.06793334877899948
2029-12-01,Food and Beverage,-0.1166816193679743
2030-01-01,Food and Beverage,-0.0698978440653432
2030-02-01,Food and Beverage,-0.07115266137346635
2030-03-01,Food and Beverage,-0.0753435270712751
2030-04-01,Food and Beverage,-0.016564856974482196
2030-05-01,Food and Beverage,0.020059800054205674
2030-06-01,Food and Beverage,0.024049082955475
2030-07-01,Food and Beverage,0.07786464306732419
2030-08-01,Food and Beverage,0.032693864658869906
2030-09-01,Food and Beverage,0.07140670661833974
2030-10-01,Food and Beverage,-0.16430834696901037
2030-11-01,Food and Beverage,-0.09240039530730985
2030-12-01,Food and Beverage,-0.14114866589676603
